127.0.0.1 - - [26/Apr/2018:13:34:11 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:34:12 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:13:34:12 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:13:34:12 +0200] "GET /twitter/ressources/photo_de_profil.jpg HTTP/1.1" 200 32701
127.0.0.1 - - [26/Apr/2018:13:34:12 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:35:23 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:35:24 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:13:35:24 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:35:25 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/css/main.css HTTP/1.1" 200 11941
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11814
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/user/info?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/friends/listfriends?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/ressources/photo_de_profil.jpg HTTP/1.1" 200 32701
127.0.0.1 - - [26/Apr/2018:13:38:19 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:38:35 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:38:44 +0200] "GET /twitter/user/logout?key=hEjNnMymqtzDeeUWFTrgpzMetDJfZeZC HTTP/1.1" 200 40
127.0.0.1 - - [26/Apr/2018:13:38:44 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:38:50 +0200] "GET /twitter/user/login?login=ahmed&mdp=mdp HTTP/1.1" 200 97
127.0.0.1 - - [26/Apr/2018:13:38:50 +0200] "GET /twitter/user/info?key=MeDRuLfwcvtDQxnghaeqOXKymnZgUHLw&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:13:38:50 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/js/posts.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/js/connexion.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/js/models.js HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/js/tools.js HTTP/1.1" 200 11882
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/friends/listfriends?key=MeDRuLfwcvtDQxnghaeqOXKymnZgUHLw HTTP/1.1" 200 235
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/user/info?key=MeDRuLfwcvtDQxnghaeqOXKymnZgUHLw&id=10 HTTP/1.1" 200 131
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/message/listall HTTP/1.1" 200 1508
127.0.0.1 - - [26/Apr/2018:13:40:57 +0200] "GET /twitter/ressources/photo_de_profil.jpg HTTP/1.1" 200 32701
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/index.html HTTP/1.1" 304 -
127.0.0.1 - - [26/Apr/2018:13:41:19 +0200] "GET /twitter/css/main.css HTTP/1.1" 304 -
